FSCS Key,Library Name,Locale,Service Area Population,Total Circulation,Percentage of Children's Material Circulation,Electronic Material Circulation,Print Material Circulation,Other Physical Item Circulation
AL0148,PELL CITY PUBLIC LIBRARY,Town,"23,428","71,834",32,"14,582","57,252",0
AL0151,YORK - HIGHTOWER MEMORIAL LIBRARY,Rural,"5,654","1,759",51,0,"1,759",65
AL0152,LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY,Rural,"6,571","10,588",30,0,"10,588",38
AL0154,ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY,City,"72,914","107,787",30,"17,957","89,830","3,202"
AL0155,JACKSONVILLE PUBLIC LIBRARY,Suburban,"12,972","39,272",42,"7,846","31,426","1,512"
AL0156,PIEDMONT PUBLIC LIBRARY,Town,"4,470","13,422",19,"2,020","11,402",0
AL0157,AKRON PUBLIC LIBRARY,Rural,"1,739","2,869",39,0,"2,869",10
AL0158,DOTHAN HOUSTON COUNTY LIBRARY SYSTEM,City,"106,580","186,314",40,"43,622","142,692","4,125"
AL0159,BLOUNTSVILLE PUBLIC LIBRARY,Rural,"14,062","11,193",22,0,"11,193","1,084"
AL0160,CHEROKEE PUBLIC LIBRARY,Rural,"5,295","3,376",31,40,"3,336",153
AL0161,BRENT - CENTREVILLE PUBLIC LIBRARY,Town,"18,280","12,945",29,"1,967","10,978",0
AL0162,CHILTON - CLANTON PUBLIC LIBRARY,Town,"44,397","37,207",33,"4,866","32,341",126
AL0163,CHOCTAW COUNTY PUBLIC LIBRARY,Rural,"12,418","4,094",12,"1,989","2,105",0
AL0164,CITRONELLE MEMORIAL LIBRARY,Rural,"3,873","11,545",15,907,"10,638","2,439"
AL0165,GROVE HILL PUBLIC LIBRARY,Rural,"6,121","4,082",22,"1,858","2,224",833
AL0166,HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY,City,"379,453","2,597,220",54,"261,312","2,335,908","6,637"
AL0167,EUTAW - JAMES C. POOLE JR. MEMORIAL LIBRARY,Rural,"7,990",487,11,0,487,25
AL0168,GREENVILLE - BUTLER COUNTY PUBLIC LIBRARY,Town,"19,504","14,832",15,"5,106","9,726",775
AL0169,HALE COUNTY LIBRARY,Rural,"6,310","4,599",22,0,"4,599",270
AL0170,CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY,Suburban,"5,659","3,338",44,9,"3,329",0
AL0171,JACKSON - WHITE SMITH MEMORIAL LIBRARY,Town,"8,993","6,752",24,"2,074","4,678",70
AL0172,MARION - PERRY COUNTY PUBLIC LIBRARY,Rural,"5,142","4,321",47,793,"3,528",51
AL0173,WOODVILLE PUBLIC LIBRARY,Rural,719,"2,847",55,0,"2,847",0
AL0174,CITY OF BAYOU LA BATRE PUBLIC LIBRARY,Rural,"2,457","11,690",86,0,"11,690",0
AL0175,SCOTTSBORO PUBLIC LIBRARY,Town,"36,784","33,524",24,"12,681","20,843",54
AL0176,ONEONTA PUBLIC LIBRARY,Town,"43,817","53,553",25,"7,885","45,668",32
AL0177,THOMASVILLE PUBLIC LIBRARY,Rural,"8,177","18,763",26,"3,980","14,783",215
AL0178,MACON COUNTY - TUSKEGEE PUBLIC LIBRARY,Town,"17,895",567,51,146,421,54
AL0179,MOUNDVILLE PUBLIC LIBRARY,Town,"5,789","13,290",45,54,"13,236",0
AL0180,UNIONTOWN PUBLIC LIBRARY,Rural,"3,545","1,012",43,170,842,0
AL0181,PRICHARD PUBLIC LIBRARY,Suburban,"21,294",550,55,0,550,0
AL0182,WASHINGTON COUNTY PUBLIC LIBRARY,Rural,"15,976","15,295",51,"1,338","13,957","1,106"
AL0184,EVERGREEN PUBLIC LIBRARY,Town,"11,851","39,314",21,0,"39,314","1,565"
AL0186,MOBILE PUBLIC LIBRARY,City,"371,723","1,414,308",28,"265,720","1,148,588","232,990"
AL0187,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY,City,"224,639","565,982",23,"310,188","255,794","32,187"
AL0188,WHITE HALL PUBLIC LIBRARY,Rural,"2,053",60,83,0,60,0
