FSCS Key,Library Name,Locale,Service Area Population,Total Library Programs,Children's Programs,Young Adult Programs,Adult Programs,Total Program Attendance,Children's Program Attendance,Adult Program Attendance,General Interest Program Attendance,General Interest Programs
AL0132,HELENA - JANE B. HOLMES PUBLIC LIBRARY,Suburban,"20,374",194,161,8,13,"3,730","3,374",77,224,12
AL0133,VINCENT - LALLOUISE F. MCGRAW LIBRARY,Rural,"2,223",6,6,0,0,60,60,0,0,0
AL0134,MONTEVALLO - PARNELL MEMORIAL LIBRARY,Suburban,"7,098",218,166,15,32,"3,388","2,941",265,80,5
AL0135,PELHAM PUBLIC LIBRARY,Suburban,"24,231",347,195,67,44,"6,245","5,207",374,328,41
AL0136,WILSONVILLE - VERNICE STOUDENMIRE LIBRARY,Rural,"2,069",47,27,1,18,408,259,135,9,1
AL0137,NORTH SHELBY LIBRARY,Suburban,"51,100",605,239,108,147,"11,037","2,887","2,429","4,952",111
AL0140,ALICEVILLE PUBLIC LIBRARY,Rural,"2,231",55,13,6,12,696,185,411,52,24
AL0141,CARROLLTON PUBLIC LIBRARY,Rural,935,10,10,0,0,9,9,0,0,0
AL0142,GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY,Rural,"1,594",63,38,0,25,306,200,106,0,0
AL0143,REFORM PUBLIC LIBRARY,Rural,"1,546",380,102,12,90,"6,192",932,"2,700","2,464",176
AL0145,MCCAIN MEMORIAL PUBLIC LIBRARY,Rural,"9,153",35,26,1,7,"1,071",884,73,95,1
AL0146,MOODY - DORIS STANLEY MEMORIAL LIBRARY,Suburban,"20,049",201,41,0,160,"1,148",124,"1,024",0,0
AL0147,ODENVILLE PUBLIC LIBRARY,Rural,"10,642",60,8,0,42,"1,733",888,416,429,10
AL0148,PELL CITY PUBLIC LIBRARY,Town,"23,428",234,111,24,79,"3,978","1,930","1,295",550,20
AL0151,YORK - HIGHTOWER MEMORIAL LIBRARY,Rural,"5,654",29,13,7,3,"1,385",620,115,325,6
AL0152,LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY,Rural,"6,571",0,0,0,0,0,0,0,0,0
AL0154,ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY,City,"72,914",507,186,146,175,"15,780","8,981","3,389",0,0
AL0155,JACKSONVILLE PUBLIC LIBRARY,Suburban,"12,972",104,56,11,36,"1,535","1,089",294,82,1
AL0156,PIEDMONT PUBLIC LIBRARY,Town,"4,470",105,77,0,28,"3,082","2,912",170,0,0
AL0157,AKRON PUBLIC LIBRARY,Rural,"1,739",23,10,5,3,273,72,56,45,5
AL0158,DOTHAN HOUSTON COUNTY LIBRARY SYSTEM,City,"106,580",566,227,64,265,"15,190","4,894","6,254","3,298",10
AL0159,BLOUNTSVILLE PUBLIC LIBRARY,Rural,"14,062",21,20,0,0,263,256,0,7,1
AL0160,CHEROKEE PUBLIC LIBRARY,Rural,"5,295",2,2,0,0,48,48,0,0,0
AL0161,BRENT - CENTREVILLE PUBLIC LIBRARY,Town,"18,280",40,40,0,0,635,635,0,0,0
AL0162,CHILTON - CLANTON PUBLIC LIBRARY,Town,"44,397",98,89,5,4,"1,089","1,018",56,0,0
AL0163,CHOCTAW COUNTY PUBLIC LIBRARY,Rural,"12,418",19,4,6,2,701,227,52,231,7
AL0164,CITRONELLE MEMORIAL LIBRARY,Rural,"3,873",32,13,2,12,"1,193",89,248,831,5
AL0165,GROVE HILL PUBLIC LIBRARY,Rural,"6,121",132,68,4,0,"1,784","1,199",0,462,60
AL0166,HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY,City,"379,453","4,340","2,253",114,"1,912","83,532","60,004","17,952","4,257",61
AL0167,EUTAW - JAMES C. POOLE JR. MEMORIAL LIBRARY,Rural,"7,990",35,10,0,25,169,51,118,0,0
AL0168,GREENVILLE - BUTLER COUNTY PUBLIC LIBRARY,Town,"19,504",142,52,4,81,977,344,243,365,5
AL0169,HALE COUNTY LIBRARY,Rural,"6,310",53,28,6,19,585,352,179,0,0
AL0170,CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY,Suburban,"5,659",15,6,1,2,538,118,10,399,6
AL0171,JACKSON - WHITE SMITH MEMORIAL LIBRARY,Town,"8,993",24,24,0,0,"1,255","1,255",0,0,0
AL0172,MARION - PERRY COUNTY PUBLIC LIBRARY,Rural,"5,142",126,65,41,14,943,603,215,63,6
AL0173,WOODVILLE PUBLIC LIBRARY,Rural,719,167,101,59,7,"1,734","1,569",41,0,0
