FSCS Key,Library Name,Locale,Suppression Note,Service Area Population,Internet Computers,Computer Uses,Wireless Sessions
AL0128,HARRISON REGIONAL LIBRARY SYSTEM,Town,,"46,094",4,367,"10,427"
AL0129,ALABASTER - ALBERT L. SCOTT LIBRARY,Suburban,,"33,701",12,"4,749","102,357"
AL0130,CALERA PUBLIC LIBRARY,Rural,,"15,248",10,"2,143","16,148"
AL0131,COLUMBIANA PUBLIC LIBRARY,Town,,"4,682",13,"2,444","77,875"
AL0132,HELENA - JANE B. HOLMES PUBLIC LIBRARY,Suburban,,"20,374",6,"1,161","13,853"
AL0133,VINCENT - LALLOUISE F. MCGRAW LIBRARY,Rural,,"2,223",6,"2,109","13,026"
AL0134,MONTEVALLO - PARNELL MEMORIAL LIBRARY,Suburban,,"7,098",7,"2,209","20,491"
AL0135,PELHAM PUBLIC LIBRARY,Suburban,,"24,231",24,"8,833","30,357"
AL0136,WILSONVILLE - VERNICE STOUDENMIRE LIBRARY,Rural,,"2,069",4,243,"29,291"
AL0137,NORTH SHELBY LIBRARY,Suburban,,"51,100",14,"5,687","175,445"
AL0140,ALICEVILLE PUBLIC LIBRARY,Rural,,"2,231",22,806,600
AL0141,CARROLLTON PUBLIC LIBRARY,Rural,,935,30,"5,250","3,850"
AL0142,GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY,Rural,,"1,594",11,"1,570",730
AL0143,REFORM PUBLIC LIBRARY,Rural,,"1,546",12,988,
AL0143,REFORM PUBLIC LIBRARY,Rural,Data Note: Missing,"1,546",,,-1
AL0145,MCCAIN MEMORIAL PUBLIC LIBRARY,Rural,,"9,153",6,663,298
AL0146,MOODY - DORIS STANLEY MEMORIAL LIBRARY,Suburban,,"20,049",10,"7,335",
AL0146,MOODY - DORIS STANLEY MEMORIAL LIBRARY,Suburban,Data Note: Missing,"20,049",,,-1
AL0147,ODENVILLE PUBLIC LIBRARY,Rural,,"10,642",9,264,
AL0147,ODENVILLE PUBLIC LIBRARY,Rural,Data Note: Missing,"10,642",,,-1
AL0148,PELL CITY PUBLIC LIBRARY,Town,,"23,428",18,"23,570","2,010"
AL0151,YORK - HIGHTOWER MEMORIAL LIBRARY,Rural,,"5,654",15,"1,243",20
AL0152,LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY,Rural,,"6,571",5,902,"1,020"
AL0154,ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY,City,,"72,914",65,"35,397","35,910"
AL0155,JACKSONVILLE PUBLIC LIBRARY,Suburban,,"12,972",41,"2,768","2,867"
AL0156,PIEDMONT PUBLIC LIBRARY,Town,,"4,470",11,"2,450","4,075"
AL0157,AKRON PUBLIC LIBRARY,Rural,,"1,739",2,150,50
AL0158,DOTHAN HOUSTON COUNTY LIBRARY SYSTEM,City,,"106,580",92,"14,107",
AL0158,DOTHAN HOUSTON COUNTY LIBRARY SYSTEM,City,Data Note: Missing,"106,580",,,-1
AL0159,BLOUNTSVILLE PUBLIC LIBRARY,Rural,,"14,062",11,"3,700","1,025"
AL0160,CHEROKEE PUBLIC LIBRARY,Rural,,"5,295",5,314,202
AL0161,BRENT - CENTREVILLE PUBLIC LIBRARY,Town,,"18,280",9,"2,041","2,965"
AL0162,CHILTON - CLANTON PUBLIC LIBRARY,Town,,"44,397",17,"2,137",341
AL0163,CHOCTAW COUNTY PUBLIC LIBRARY,Rural,,"12,418",5,563,"4,765"
AL0164,CITRONELLE MEMORIAL LIBRARY,Rural,,"3,873",14,932,"7,310"
AL0165,GROVE HILL PUBLIC LIBRARY,Rural,,"6,121",8,"1,123","2,600"
AL0166,HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY,City,,"379,453",129,"61,812","201,088"
AL0167,EUTAW - JAMES C. POOLE JR. MEMORIAL LIBRARY,Rural,,"7,990",23,"1,026",278
AL0168,GREENVILLE - BUTLER COUNTY PUBLIC LIBRARY,Town,,"19,504",8,"2,456","1,500"
AL0169,HALE COUNTY LIBRARY,Rural,,"6,310",12,"1,007",800
AL0170,CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY,Suburban,,"5,659",9,"1,650",
AL0170,CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY,Suburban,Data Note: Missing,"5,659",,,-1
AL0171,JACKSON - WHITE SMITH MEMORIAL LIBRARY,Town,,"8,993",24,"2,015",201
AL0172,MARION - PERRY COUNTY PUBLIC LIBRARY,Rural,,"5,142",13,601,687
AL0173,WOODVILLE PUBLIC LIBRARY,Rural,,719,8,340,0
AL0174,CITY OF BAYOU LA BATRE PUBLIC LIBRARY,Rural,,"2,457",6,"8,659","4,550"
AL0175,SCOTTSBORO PUBLIC LIBRARY,Town,,"36,784",8,862,"6,750"
AL0176,ONEONTA PUBLIC LIBRARY,Town,,"43,817",31,"6,839","5,066"
AL0177,THOMASVILLE PUBLIC LIBRARY,Rural,,"8,177",26,"4,294","8,836"
AL0178,MACON COUNTY - TUSKEGEE PUBLIC LIBRARY,Town,,"17,895",40,132,"1,507"
AL0179,MOUNDVILLE PUBLIC LIBRARY,Town,,"5,789",12,"1,579",917
AL0180,UNIONTOWN PUBLIC LIBRARY,Rural,,"3,545",10,40,"1,003"
AL0181,PRICHARD PUBLIC LIBRARY,Suburban,,"21,294",16,780,"8,125"
AL0182,WASHINGTON COUNTY PUBLIC LIBRARY,Rural,,"15,976",27,"2,632","2,384"
AL0184,EVERGREEN PUBLIC LIBRARY,Town,,"11,851",20,"1,670",0
AL0186,MOBILE PUBLIC LIBRARY,City,,"371,723",567,"166,418","24,474"
AL0187,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY,City,,"224,639",462,"77,604","69,649"
AL0188,WHITE HALL PUBLIC LIBRARY,Rural,,"2,053",5,152,0
AL0189,STEVENSON PUBLIC LIBRARY,Rural,,"5,097",4,"3,120",174
AL0190,KILLEN PUBLIC LIBRARY,Suburban,,962,13,836,"1,000"
AL0191,LEXINGTON - BURCHELL CAMPBELL MEMORIAL LIBRARY,Rural,,711,10,800,"3,000"
AL0192,AUTAUGA - PRATTVILLE PUBLIC LIBRARY,Rural,,"56,145",37,"7,031",
AL0192,AUTAUGA - PRATTVILLE PUBLIC LIBRARY,Rural,Data Note: Missing,"56,145",,,-1
AL0193,FAYETTE COUNTY MEMORIAL LIBRARY,Town,,"16,241",10,"1,709",
AL0193,FAYETTE COUNTY MEMORIAL LIBRARY,Town,Data Note: Missing,"16,241",,,-1
AL0194,PHENIX CITY - RUSSELL COUNTY PUBLIC LIBRARY,Suburban,,"58,237",35,"4,478","13,842"
AL0195,SELMA - DALLAS COUNTY PUBLIC LIBRARY,Town,,"36,098",47,"34,405","68,903"
AL0196,TUSCALOOSA PUBLIC LIBRARY,City,,"210,758",223,"220,046","4,631,850"
AL0197,WILCOX COUNTY LIBRARY,Rural,,"10,206",10,"1,503",861
AL0198,MONROE COUNTY PUBLIC LIBRARY,Town,,"20,459",6,"1,492","2,920"
AL0199,CULLMAN COUNTY PUBLIC LIBRARY,Town,,"84,515",39,"9,884","8,662"
AL0200,VALLEY - H. GRADY BRADSHAW / CHAMBERS COUNTY LIBRARY,Town,,"32,865",40,"5,686",
